emp_no,first_name,last_name,dept_name,title,from_date,to_date,salary
237178,Kiyokazu,Anick,Research,Senior Staff,1998-03-05,9999-01-01,48903
292331,Aamod,Vesna,Development,Engineer,1998-03-05,9999-01-01,55580
37807,Apostol,Douceur,Production,Senior Engineer,1998-03-04,9999-01-01,64932
213779,Shooichi,Improta,Finance,Staff,1998-03-04,9999-01-01,60477
253354,Takahito,Hofman,Sales,Senior Staff,1998-03-04,9999-01-01,74218
408818,Bingning,Coorg,Research,Staff,1998-03-04,9999-01-01,40000
442757,Noritoshi,Cannard,Production,Engineer,1998-03-04,9999-01-01,41468
466743,Bogdan,Salvesen,Production,Engineer,1998-03-04,9999-01-01,49335
85799,Radhika,Parveen,Research,Senior Staff,1998-03-03,9999-01-01,40000
100279,Mingdong,Gustavson,Sales,Staff,1998-03-03,9999-01-01,71734
248860,Sreenivas,Carrere,Development,Senior Engineer,1998-03-03,9999-01-01,42988
251851,Yongmin,Munawer,Development,Senior Engineer,1998-03-03,9999-01-01,54109
259402,Uriel,Seuren,Finance,Senior Staff,1998-03-03,9999-01-01,50665
435720,Shahaf,Rijsenbrij,Development,Engineer,1998-03-03,9999-01-01,40000
492694,Boutros,Weedman,Development,Senior Engineer,1998-03-03,9999-01-01,61838
497426,Toshiko,Solovay,Marketing,Senior Staff,1998-03-03,9999-01-01,64338
62205,Vitaly,Brlek,Human Resources,Senior Staff,1998-03-02,9999-01-01,40000
98717,Chenyi,Oaver,Research,Staff,1998-03-02,9999-01-01,57315
43318,Rasikan,Boyle,Development,Senior Engineer,1998-03-01,9999-01-01,40000
58317,Eric,Kenevan,Development,Engineer,1998-03-01,9999-01-01,43595
60904,Tomokazu,Gelosh,Sales,Staff,1998-03-01,9999-01-01,64065
78697,Troy,Stavenow,Sales,Staff,1998-03-01,9999-01-01,84891
249227,Manton,Chorvat,Development,Engineer,1998-03-01,9999-01-01,41634
421296,Guttorm,Krogh,Quality Management,Engineer,1998-03-01,9999-01-01,40000
469670,Kasidit,Lyonns,Human Resources,Senior Staff,1998-03-01,9999-01-01,58379
29917,Sahrah,Roohalamini,Production,Senior Engineer,1998-02-28,9999-01-01,79167
39873,Kankanahalli,Joslin,Production,Senior Engineer,1998-02-28,9999-01-01,40000
94034,Vasilis,Riesenhuber,Development,Engineer,1998-02-28,9999-01-01,40000
283306,Kendra,Giaccio,Quality Management,Assistant Engineer,1998-02-28,9999-01-01,43867
463825,Gao,Coombs,Marketing,Staff,1998-02-28,9999-01-01,52666
483651,Sanjoy,Slobodova,Development,Senior Engineer,1998-02-28,9999-01-01,62724
487054,Bernd,Gire,Research,Staff,1998-02-28,9999-01-01,40000
76696,Saniya,Steenbeek,Marketing,Staff,1998-02-27,9999-01-01,56373
80259,Haldon,Siprelle,Production,Engineer,1998-02-27,9999-01-01,49124
403222,Martial,Henseler,Production,Senior Engineer,1998-02-27,9999-01-01,47294
424497,Shahab,Maccarone,Development,Senior Engineer,1998-02-27,9999-01-01,40000
425716,Khatoun,Merro,Development,Assistant Engineer,1998-02-27,9999-01-01,40714
440414,Kolar,Meriste,Production,Senior Engineer,1998-02-27,9999-01-01,40000
479281,Seongbae,Ghalwash,Production,Senior Engineer,1998-02-27,9999-01-01,67164
484694,Salvador,Alvarado,Production,Engineer,1998-02-27,9999-01-01,42958
60133,Valeri,Shobatake,Marketing,Senior Staff,1998-02-26,9999-01-01,47037
490104,Adhemar,Lowrie,Sales,Staff,1998-02-26,9999-01-01,78732
491117,Makato,Liedekerke,Sales,Senior Staff,1998-02-26,9999-01-01,61258
10066,Kwee,Schusler,Development,Senior Engineer,1998-02-25,9999-01-01,69736
38608,Florian,Journel,Development,Senior Engineer,1998-02-25,9999-01-01,57367
93682,Mari,Mukaidono,Development,Senior Engineer,1998-02-25,9999-01-01,40408
215008,Mechthild,Alpin,Quality Management,Senior Engineer,1998-02-25,9999-01-01,56002
254957,Val,Lores,Development,Engineer,1998-02-25,9999-01-01,62767
259285,Odoardo,Khasidashvili,Production,Engineer,1998-02-25,9999-01-01,40000
407583,Chenye,Reinhard,Human Resources,Senior Staff,1998-02-25,9999-01-01,44396
467823,Pohua,Ranft,Research,Senior Engineer,1998-02-25,9999-01-01,40584
223397,Jamaludin,Morris,Production,Senior Engineer,1998-02-24,9999-01-01,57458
270783,Aamod,Vilarrasa,Research,Staff,1998-02-24,9999-01-01,62493
417841,Freyja,Sridhar,Sales,Senior Staff,1998-02-24,9999-01-01,66174
499816,Debatosh,Murtagh,Development,Assistant Engineer,1998-02-24,9999-01-01,40000
18811,Cheong,Oxenboll,Research,Senior Staff,1998-02-23,9999-01-01,59977
226398,Girolamo,Copas,Production,Senior Engineer,1998-02-23,9999-01-01,40000
243260,Wonhee,Delgrossi,Development,Senior Engineer,1998-02-23,9999-01-01,62284
423538,Shuky,Schieder,Production,Senior Engineer,1998-02-23,9999-01-01,71692
478146,Srinidhi,Nittel,Production,Senior Engineer,1998-02-23,9999-01-01,47932
35158,Anestis,Pramanik,Quality Management,Engineer,1998-02-22,9999-01-01,40000
78693,Xinan,Luce,Research,Staff,1998-02-22,9999-01-01,40000
219034,Danai,Doering,Production,Engineer,1998-02-22,9999-01-01,55825
219141,Mari,Hofting,Customer Service,Staff,1998-02-22,9999-01-01,40000
234084,Rance,Viele,Sales,Senior Staff,1998-02-22,9999-01-01,62330
431022,Randy,Improta,Marketing,Senior Staff,1998-02-22,9999-01-01,67602
46326,Harjit,Paludetto,Human Resources,Senior Staff,1998-02-21,9999-01-01,40000
67835,Behnaam,Luft,Sales,Senior Staff,1998-02-21,9999-01-01,58660
104047,Girolamo,Zweizig,Production,Engineer,1998-02-21,9999-01-01,40000
236287,Babette,Butner,Development,Engineer,1998-02-21,9999-01-01,54790
237187,Prodip,Ariola,Finance,Staff,1998-02-21,9999-01-01,70522
243950,Lidong,Argence,Development,Senior Engineer,1998-02-21,9999-01-01,40000
408014,Tuval,Janetzko,Production,Engineer,1998-02-21,9999-01-01,40000
440598,Dmitry,Kawashima,Development,Technique Leader,1998-02-21,9999-01-01,40000
489205,Eran,Cunliffe,Human Resources,Staff,1998-02-21,9999-01-01,40000
10347,Pradeep,Kaminger,Research,Staff,1998-02-20,9999-01-01,42199
209617,Sarita,Lund,Finance,Senior Staff,1998-02-20,9999-01-01,74979
211008,Ziva,Vecchi,Sales,Staff,1998-02-20,9999-01-01,82570
271189,Eirik,Plump,Finance,Staff,1998-02-20,9999-01-01,40000
284449,Berna,McFarlin,Finance,Senior Staff,1998-02-20,9999-01-01,55890
17728,Tsuneo,Lienhardt,Research,Staff,1998-02-19,9999-01-01,57162
50893,Tayeb,Garrabrants,Sales,Senior Staff,1998-02-19,9999-01-01,65063
247540,Parviz,Murthy,Customer Service,Staff,1998-02-19,9999-01-01,81111
483820,Valery,Birrer,Customer Service,Senior Staff,1998-02-19,9999-01-01,66925
22282,Shaz,Streit,Research,Senior Staff,1998-02-18,9999-01-01,60024
57355,Shahar,Condotta,Quality Management,Engineer,1998-02-18,9999-01-01,53670
109610,Kotesh,Pelc,Quality Management,Senior Engineer,1998-02-18,9999-01-01,40000
249261,Gil,Pettis,Sales,Senior Staff,1998-02-18,9999-01-01,70545
404420,Mary,Ranka,Quality Management,Senior Engineer,1998-02-18,9999-01-01,40000
448364,Xuedong,Sinitsyn,Production,Senior Engineer,1998-02-18,9999-01-01,70649
486952,Gen,Gimarc,Development,Staff,1998-02-18,9999-01-01,40000
28478,Chiradeep,Simmen,Production,Senior Engineer,1998-02-17,9999-01-01,40000
57870,Yurii,Georgatos,Development,Senior Engineer,1998-02-17,9999-01-01,40000
71839,Owen,Hasenauer,Production,Engineer,1998-02-17,9999-01-01,40000
209212,Bouchung,Trumbly,Production,Engineer,1998-02-17,9999-01-01,46456
483123,Masaki,Ducloy,Production,Senior Engineer,1998-02-17,9999-01-01,40000
37716,Gill,Hutton,Development,Assistant Engineer,1998-02-16,9999-01-01,40000
47401,Arco,Thisen,Quality Management,Technique Leader,1998-02-16,9999-01-01,67807
86817,Shmuel,Sommen,Production,Senior Engineer,1998-02-16,9999-01-01,44861
89026,Rafols,Siprelle,Sales,Senior Staff,1998-02-16,9999-01-01,52492
92808,Hinrich,Junet,Human Resources,Senior Staff,1998-02-16,9999-01-01,40000
266142,Marco,Bernini,Development,Engineer,1998-02-16,9999-01-01,47114
415890,Zhonghui,Melski,Development,Senior Engineer,1998-02-16,9999-01-01,52124
456093,Flemming,Ramaiah,Production,Senior Engineer,1998-02-16,9999-01-01,40000
15765,Tonny,Taubenfeld,Development,Senior Engineer,1998-02-15,9999-01-01,40000
45209,Yinghua,Cardazo,Marketing,Senior Staff,1998-02-15,9999-01-01,47678
293103,Danco,Butner,Quality Management,Senior Engineer,1998-02-15,9999-01-01,40000
412997,Baocai,Samarati,Quality Management,Senior Engineer,1998-02-15,9999-01-01,40000
476146,Masali,Legleitner,Customer Service,Senior Staff,1998-02-15,9999-01-01,40000
17158,Danai,Vecchio,Customer Service,Senior Engineer,1998-02-14,9999-01-01,48426
23136,Narain,Skogmar,Production,Engineer,1998-02-14,9999-01-01,56024
71471,Bernice,Peak,Production,Engineer,1998-02-14,9999-01-01,50095
101312,Kamakshi,Auria,Customer Service,Senior Engineer,1998-02-14,9999-01-01,40000
274996,Abdelghani,Fioravanti,Production,Senior Engineer,1998-02-14,9999-01-01,40000
294080,Chenxi,Iwayama,Sales,Senior Staff,1998-02-14,9999-01-01,78862
481322,Salvador,Hettesheimer,Customer Service,Staff,1998-02-14,9999-01-01,63839
19205,Moto,Sinitsyn,Sales,Staff,1998-02-13,9999-01-01,93690
19616,Niranjan,Uchoa,Development,Engineer,1998-02-13,9999-01-01,45859
89755,Lalit,Klerer,Finance,Staff,1998-02-13,9999-01-01,61402
90743,Rayond,Emden,Customer Service,Senior Staff,1998-02-13,9999-01-01,45210
204881,Bodh,Zultner,Development,Engineer,1998-02-13,9999-01-01,40000
276091,Szabolcs,Halevi,Sales,Staff,1998-02-13,9999-01-01,77397
402652,Zhigen,Toyoshima,Sales,Staff,1998-02-13,9999-01-01,67414
17778,Chirstian,Matzov,Customer Service,Senior Staff,1998-02-12,9999-01-01,40000
49668,Xuedong,Braunschweig,Finance,Staff,1998-02-12,9999-01-01,61599
205778,Yakichi,Itzfeldt,Development,Senior Engineer,1998-02-12,9999-01-01,54119
209860,Perla,Engberts,Development,Technique Leader,1998-02-12,9999-01-01,49666
257982,Saeed,Zaccaria,Development,Engineer,1998-02-12,9999-01-01,51082
22496,Yongqiao,Yavatkar,Production,Senior Engineer,1998-02-11,9999-01-01,44922
94709,Brewster,Lemarechal,Production,Senior Engineer,1998-02-11,9999-01-01,40000
228258,Suzette,Giaccio,Production,Engineer,1998-02-11,9999-01-01,51986
255837,Shigeo,Neimat,Development,Engineer,1998-02-11,9999-01-01,54703
259565,Shirish,Osgood,Production,Senior Engineer,1998-02-11,9999-01-01,65510
262384,Angus,Msuda,Production,Senior Engineer,1998-02-11,9999-01-01,52172
289134,Uinam,Engberts,Production,Engineer,1998-02-11,9999-01-01,42471
410265,Alper,Beausoleil,Sales,Staff,1998-02-11,9999-01-01,79893
430196,Mechthild,Fasbender,Sales,Staff,1998-02-11,9999-01-01,56683
42184,Prasadram,Kusalik,Development,Engineer,1998-02-10,9999-01-01,61968
218655,Kiyotoshi,Lakshmanan,Development,Engineer,1998-02-10,9999-01-01,55401
239022,Maik,Selenyi,Finance,Senior Staff,1998-02-10,9999-01-01,42561
24752,Fan,Mersereau,Development,Technique Leader,1998-02-09,9999-01-01,43763
29052,Doowon,Azulay,Production,Senior Engineer,1998-02-09,9999-01-01,40000
49244,Alexius,Trelles,Human Resources,Senior Staff,1998-02-09,9999-01-01,40000
95772,Ziva,Sinicrope,Production,Senior Engineer,1998-02-09,9999-01-01,72147
212482,Lubomir,Angiulli,Sales,Staff,1998-02-09,9999-01-01,55971
234663,Ravishankar,Kroon,Production,Engineer,1998-02-09,9999-01-01,48234
274910,Parke,Braccini,Sales,Senior Staff,1998-02-09,9999-01-01,80003
285342,Nevio,Velasco,Production,Engineer,1998-02-09,9999-01-01,41451
296757,Mandell,Rabehasaina,Production,Senior Engineer,1998-02-09,9999-01-01,40000
298850,Yuqun,Sudkamp,Production,Senior Engineer,1998-02-09,9999-01-01,40000
459489,Pascal,Comellas,Development,Senior Engineer,1998-02-09,9999-01-01,66186
460655,Alenka,Azuma,Sales,Senior Staff,1998-02-09,9999-01-01,77153
462016,Taiji,Danner,Sales,Staff,1998-02-09,9999-01-01,70572
494008,Guadalupe,Roohalamini,Marketing,Senior Staff,1998-02-09,9999-01-01,51654
85096,Xinglin,Feinberg,Development,Engineer,1998-02-08,9999-01-01,40000
108842,Giordano,Heijenga,Sales,Staff,1998-02-08,9999-01-01,94385
241677,Lansing,Denti,Production,Engineer,1998-02-08,9999-01-01,40000
244787,Rosalyn,Talmor,Sales,Senior Staff,1998-02-08,9999-01-01,85669
271727,Dmitri,Nourani,Research,Staff,1998-02-08,9999-01-01,40000
295376,Minghong,Arlazarov,Development,Senior Engineer,1998-02-08,9999-01-01,42014
433696,Prasadram,Fargier,Production,Engineer,1998-02-08,9999-01-01,48710
490042,Vivian,Syrotiuk,Production,Engineer,1998-02-08,9999-01-01,40000
49699,Lidong,Dulli,Quality Management,Senior Engineer,1998-02-07,9999-01-01,40000
66848,Supot,Brickell,Customer Service,Senior Staff,1998-02-07,9999-01-01,40000
232995,Jixiang,Billawala,Sales,Senior Staff,1998-02-07,9999-01-01,82110
233539,Sumant,Rossi,Human Resources,Staff,1998-02-07,9999-01-01,52167
21713,Guther,Boreale,Finance,Senior Staff,1998-02-06,9999-01-01,40208
22135,Guiseppe,Nyrup,Marketing,Staff,1998-02-06,9999-01-01,48289
26300,Marin,Gomatam,Development,Senior Engineer,1998-02-06,9999-01-01,45251
47763,Yagil,Basart,Sales,Staff,1998-02-06,9999-01-01,62616
59824,Xiaoshan,Marwedel,Development,Assistant Engineer,1998-02-06,9999-01-01,47939
219267,Aloys,Tibblin,Production,Senior Engineer,1998-02-06,9999-01-01,44139
221989,Jiakeng,Terekhov,Development,Engineer,1998-02-06,9999-01-01,40000
246854,Roddy,Gips,Development,Engineer,1998-02-06,9999-01-01,46342
276458,Christfried,Litvinov,Research,Senior Staff,1998-02-06,9999-01-01,40000
409385,Jolita,Speel,Sales,Staff,1998-02-06,9999-01-01,68017
466837,Josyula,Bruckman,Production,Senior Engineer,1998-02-06,9999-01-01,55546
52962,Hein,Cappelli,Sales,Senior Staff,1998-02-05,9999-01-01,63817
101380,Cullen,Ghazalie,Production,Engineer,1998-02-05,9999-01-01,65130
252970,Mario,Herber,Development,Senior Engineer,1998-02-05,9999-01-01,46089
257017,Margo,Rousseau,Development,Technique Leader,1998-02-05,9999-01-01,47352
267299,Ennio,Bisiani,Development,Engineer,1998-02-05,9999-01-01,51944
290434,Mohan,Ferriere,Sales,Senior Staff,1998-02-05,9999-01-01,60216
417842,Mart,Khalil,Development,Engineer,1998-02-05,9999-01-01,40000
480995,Saeko,Argence,Research,Senior Staff,1998-02-05,9999-01-01,40000
14257,Kwok,Massonet,Production,Staff,1998-02-04,9999-01-01,40000
69940,Gonzalo,Mattern,Marketing,Staff,1998-02-04,9999-01-01,55119
221878,Phillip,Albarhamtoshy,Production,Senior Engineer,1998-02-04,9999-01-01,40000
410091,Juichirou,Manderick,Production,Senior Engineer,1998-02-04,9999-01-01,89944
415902,Barun,Radwan,Human Resources,Staff,1998-02-04,9999-01-01,40000
490100,Khalid,Bressoud,Research,Staff,1998-02-04,9999-01-01,49202
36968,Shin,Siprelle,Sales,Staff,1998-02-03,9999-01-01,65871
82060,Arvind,Michaeli,Production,Engineer,1998-02-03,9999-01-01,50525
95898,Brewster,Schaad,Production,Senior Engineer,1998-02-03,9999-01-01,41703
216750,Charmane,Farris,Development,Engineer,1998-02-03,9999-01-01,40838
252989,Stella,Wegerle,Development,Senior Engineer,1998-02-03,9999-01-01,40000
417317,Byong,Asrin,Quality Management,Technique Leader,1998-02-03,9999-01-01,40000
468472,Sreekrishna,Tsukuda,Production,Engineer,1998-02-03,9999-01-01,40000
476367,Jiang,Desikan,Production,Technique Leader,1998-02-03,9999-01-01,55872
11021,Srinidhi,Henders,Research,Staff,1998-02-02,9999-01-01,62670
12417,Dannz,Spelt,Production,Senior Engineer,1998-02-02,9999-01-01,67342
56455,Khaled,Juneja,Marketing,Senior Staff,1998-02-02,9999-01-01,66981
403459,Georgi,Claffy,Production,Assistant Engineer,1998-02-02,9999-01-01,44740
430854,Collette,Tsunoo,Development,Engineer,1998-02-02,9999-01-01,64451
476742,Sanjit,Matzen,Finance,Staff,1998-02-02,9999-01-01,40000
493944,Ziyad,Gulla,Production,Assistant Engineer,1998-02-02,9999-01-01,57380
55476,Kokou,Halevi,Development,Engineer,1998-02-01,9999-01-01,40000
83592,Georgy,Baek,Production,Senior Engineer,1998-02-01,9999-01-01,62681
91225,Pranjal,Mamelak,Sales,Staff,1998-02-01,9999-01-01,58877
215247,Tonny,Hellwagner,Sales,Senior Staff,1998-02-01,9999-01-01,89998
228472,Chirstian,Magalhaes,Development,Senior Engineer,1998-02-01,9999-01-01,40000
270364,Anoosh,Pellegrinelli,Production,Engineer,1998-02-01,9999-01-01,40000
279707,Makato,Broder,Production,Senior Engineer,1998-02-01,9999-01-01,40000
286206,King,Ulupinar,Development,Engineer,1998-02-01,9999-01-01,44224
402011,Bodo,Hatcliff,Sales,Staff,1998-02-01,9999-01-01,64305
431157,Alexius,Bernick,Development,Senior Engineer,1998-02-01,9999-01-01,48874
437052,Baocai,Gill,Research,Senior Staff,1998-02-01,9999-01-01,54172
68147,Breannda,Zhang,Development,Engineer,1998-01-31,9999-01-01,40000
89392,Leen,Casperson,Production,Senior Engineer,1998-01-31,9999-01-01,40000
273083,Kazuhito,Vitiello,Development,Senior Engineer,1998-01-31,9999-01-01,40000
290463,Candido,Fortenbacher,Finance,Senior Staff,1998-01-31,9999-01-01,82281
297900,Fuqing,Bala,Finance,Staff,1998-01-31,9999-01-01,43928
410883,Supot,Peak,Research,Staff,1998-01-31,9999-01-01,40000
450248,Nigel,Zaiane,Development,Engineer,1998-01-31,9999-01-01,68410
493285,Gennady,Syrzycki,Sales,Staff,1998-01-31,9999-01-01,95907
44639,Odysseas,Anick,Production,Engineer,1998-01-30,9999-01-01,40000
107959,Kenton,Sankaranarayanan,Finance,Senior Staff,1998-01-30,9999-01-01,53499
205753,Keiichiro,Gonthier,Development,Senior Engineer,1998-01-30,9999-01-01,40000
241320,Sreekrishna,Rosch,Production,Engineer,1998-01-30,9999-01-01,50151
277330,Tsuneo,Brobst,Human Resources,Staff,1998-01-30,9999-01-01,40000
427381,Lena,Pepe,Marketing,Senior Staff,1998-01-30,9999-01-01,81557
441493,Ger,Menhardt,Quality Management,Engineer,1998-01-30,9999-01-01,40000
21527,DeForest,Yurov,Production,Senior Engineer,1998-01-29,9999-01-01,40000
47236,Masako,Polupanov,Marketing,Staff,1998-01-29,9999-01-01,50691
104897,Marl,Merks,Production,Engineer,1998-01-29,9999-01-01,81224
420916,Kwangho,Gischer,Production,Senior Engineer,1998-01-29,9999-01-01,40000
455579,Evgueni,Birrer,Finance,Senior Staff,1998-01-29,9999-01-01,67544
460568,Zhiwei,Schiettecatte,Development,Engineer,1998-01-29,9999-01-01,40601
39735,Morris,Ashish,Research,Engineer,1998-01-28,9999-01-01,46780
48108,Shaowei,Cairo,Quality Management,Engineer,1998-01-28,9999-01-01,59613
55242,Vitaly,Henseler,Customer Service,Staff,1998-01-28,9999-01-01,40000
291222,Stafford,Mellouli,Production,Engineer,1998-01-28,9999-01-01,49334
403477,Herbert,Rajaraman,Sales,Staff,1998-01-28,9999-01-01,71872
444664,Odysseas,Horswill,Customer Service,Staff,1998-01-28,9999-01-01,40000
455640,Takushi,Levasseur,Production,Engineer,1998-01-28,9999-01-01,40000
53418,Hiroyasu,Alencar,Sales,Senior Staff,1998-01-27,9999-01-01,90427
436126,Janalee,Baek,Customer Service,Senior Staff,1998-01-27,9999-01-01,66896
470411,Eric,Worfolk,Development,Senior Engineer,1998-01-27,9999-01-01,71354
481679,Nobuyoshi,Hatcliff,Finance,Senior Staff,1998-01-27,9999-01-01,53514
24209,Hilary,Msuda,Development,Senior Engineer,1998-01-26,9999-01-01,40000
67774,Jongsuk,Fabrizio,Production,Senior Engineer,1998-01-26,9999-01-01,40000
208742,Heather,Ruther,Sales,Staff,1998-01-26,9999-01-01,75944
241492,Miomir,Atchley,Quality Management,Engineer,1998-01-26,9999-01-01,40000
264565,Berthier,Willoner,Human Resources,Senior Staff,1998-01-26,9999-01-01,40000
481722,Mohammad,Ullian,Production,Senior Engineer,1998-01-26,9999-01-01,61074
45402,Kwok,Liesche,Human Resources,Staff,1998-01-25,9999-01-01,40000
73225,Mana,Swick,Development,Engineer,1998-01-25,9999-01-01,44581
243885,Kirk,Bernardeschi,Marketing,Senior Staff,1998-01-25,9999-01-01,80896
246590,Vesna,Panwar,Development,Senior Engineer,1998-01-25,9999-01-01,40000
260507,Foong,Lueh,Development,Staff,1998-01-25,9999-01-01,40000
296053,Karoline,Broomell,Production,Senior Engineer,1998-01-25,9999-01-01,58426
475774,Vincent,Coombs,Development,Technique Leader,1998-01-25,9999-01-01,40000
487397,Mara,Farrag,Development,Engineer,1998-01-25,9999-01-01,54453
65308,Jouni,Pocchiola,Human Resources,Senior Staff,1998-01-24,9999-01-01,40000
86957,Aris,Guenter,Quality Management,Senior Engineer,1998-01-24,9999-01-01,45321
243589,Rasiah,Walstra,Quality Management,Senior Engineer,1998-01-24,9999-01-01,40000
257078,Boaz,Siepmann,Development,Engineer,1998-01-24,9999-01-01,40000
276880,Ramalingam,Kobuchi,Quality Management,Senior Engineer,1998-01-24,9999-01-01,50294
419387,Frazer,Lichtman,Development,Engineer,1998-01-24,9999-01-01,57855
213964,Shawna,Limongiello,Sales,Senior Staff,1998-01-23,9999-01-01,63483
218978,Babette,Danlos,Finance,Senior Staff,1998-01-23,9999-01-01,73133
281083,Conrado,Emden,Human Resources,Senior Staff,1998-01-23,9999-01-01,40000
80790,Stepehn,Unno,Development,Senior Engineer,1998-01-22,9999-01-01,42243
251812,Doohun,Suomi,Sales,Staff,1998-01-22,9999-01-01,57487
272683,Monique,Cyne,Production,Staff,1998-01-22,9999-01-01,46759
293939,Parke,Lanzelotte,Development,Staff,1998-01-22,9999-01-01,57878
412655,Yuqun,Gniady,Customer Service,Senior Staff,1998-01-22,9999-01-01,60262
428421,Arne,Shanbhogue,Sales,Senior Staff,1998-01-22,9999-01-01,80597
460897,Fei,Krohn,Quality Management,Assistant Engineer,1998-01-22,9999-01-01,40000
20636,Hsiangchu,Collavizza,Finance,Senior Staff,1998-01-21,9999-01-01,40000
62632,Piyawadee,Chiola,Production,Engineer,1998-01-21,9999-01-01,48394
73400,Billur,Heemskerk,Production,Senior Engineer,1998-01-21,9999-01-01,61259
431441,Fumiyo,Sinicrope,Finance,Staff,1998-01-21,9999-01-01,41989
455512,Nevin,Pollock,Development,Senior Engineer,1998-01-21,9999-01-01,40000
479625,Itzchak,Parfitt,Production,Engineer,1998-01-21,9999-01-01,43961
36529,Toong,Bage,Finance,Staff,1998-01-20,9999-01-01,62064
44525,Christophe,Fetvedt,Customer Service,Senior Staff,1998-01-20,9999-01-01,44847
67033,Weiru,Schaaf,Production,Senior Engineer,1998-01-20,9999-01-01,62407
71302,Zhenbing,Heiserman,Production,Senior Engineer,1998-01-20,9999-01-01,64704
85028,Ebru,Heydon,Sales,Senior Staff,1998-01-20,9999-01-01,78598
296643,Almudena,Cannard,Customer Service,Staff,1998-01-20,9999-01-01,52062
408742,Janalee,Aumann,Development,Engineer,1998-01-20,9999-01-01,60498
91620,Jenwei,McDermid,Development,Engineer,1998-01-19,9999-01-01,40000
104203,Shigenori,Gyorkos,Customer Service,Staff,1998-01-19,9999-01-01,72926
207295,Aiichiro,Motley,Production,Assistant Engineer,1998-01-19,9999-01-01,40000
269675,Padma,Cannard,Production,Senior Engineer,1998-01-19,9999-01-01,40528
496632,Xinglin,Berstel,Customer Service,Engineer,1998-01-19,9999-01-01,42630
14793,Stein,Uchoa,Development,Engineer,1998-01-18,9999-01-01,47045
29722,Aron,Flanders,Production,Engineer,1998-01-18,9999-01-01,54348
58125,Xiaoshan,Cesareni,Development,Senior Engineer,1998-01-18,9999-01-01,51416
59488,Saeko,Montresor,Production,Senior Engineer,1998-01-18,9999-01-01,48499
65394,Jacqueline,Lamma,Sales,Senior Staff,1998-01-18,9999-01-01,80932
260670,Divine,Acton,Quality Management,Engineer,1998-01-18,9999-01-01,40717
433754,Leon,Sommen,Development,Engineer,1998-01-18,9999-01-01,41907
435911,Patricia,Perez,Sales,Senior Staff,1998-01-18,9999-01-01,43821
455506,Hailing,Penn,Production,Senior Engineer,1998-01-18,9999-01-01,67877
59659,Leandro,Munke,Marketing,Senior Staff,1998-01-17,9999-01-01,67478
63326,Filipp,Perin,Development,Senior Engineer,1998-01-17,9999-01-01,40000
84407,Chaoyi,Plessier,Marketing,Senior Staff,1998-01-17,9999-01-01,65315
85719,Satosi,Rosti,Sales,Senior Staff,1998-01-17,9999-01-01,50359
85796,Honglan,Boissier,Sales,Staff,1998-01-17,9999-01-01,61359
246392,Toshimo,Tyugu,Research,Senior Staff,1998-01-17,9999-01-01,60420
404085,Moie,Aingworth,Marketing,Senior Staff,1998-01-17,9999-01-01,61567
413919,Shushma,Nergos,Sales,Staff,1998-01-17,9999-01-01,75168
483986,Siamak,Radhakrishnan,Development,Senior Engineer,1998-01-17,9999-01-01,52464
17102,Radhika,Garnick,Sales,Staff,1998-01-16,9999-01-01,89793
46567,Khatoun,Kirkerud,Sales,Staff,1998-01-16,9999-01-01,63043
101878,Tetsushi,Stroustrup,Sales,Senior Staff,1998-01-16,9999-01-01,69019
222960,Jaroslava,Garnick,Development,Senior Engineer,1998-01-16,9999-01-01,52411
407991,Marco,Redmiles,Sales,Senior Staff,1998-01-16,9999-01-01,71065
408006,Hinrich,Gniady,Development,Assistant Engineer,1998-01-16,9999-01-01,44289
428242,Shuichi,Choobineh,Sales,Staff,1998-01-16,9999-01-01,57903
497928,Carrsten,Deville,Production,Engineer,1998-01-16,9999-01-01,40000
285928,Martien,Kornyak,Research,Staff,1998-01-15,9999-01-01,52750
462668,Bedrich,Jenevein,Sales,Senior Staff,1998-01-15,9999-01-01,78900
479676,Marl,Ressouche,Quality Management,Engineer,1998-01-15,9999-01-01,48898
50395,Bedir,Garigliano,Production,Engineer,1998-01-14,9999-01-01,40000
237095,Babette,Luck,Customer Service,Senior Staff,1998-01-14,9999-01-01,40000
263234,Xiaocheng,Rassart,Sales,Senior Staff,1998-01-14,9999-01-01,40000
266653,Khun,Cochrane,Customer Service,Engineer,1998-01-14,9999-01-01,56954
299069,Lijia,Jahnichen,Development,Engineer,1998-01-14,9999-01-01,40000
444853,Mahmut,Schoegge,Finance,Senior Staff,1998-01-14,9999-01-01,43309
484716,Yinlin,Schlumberger,Customer Service,Senior Staff,1998-01-14,9999-01-01,44302
15911,Shaibal,Viele,Customer Service,Senior Engineer,1998-01-13,9999-01-01,45602
83949,Tomokazu,Biran,Production,Engineer,1998-01-13,9999-01-01,40000
96649,Ishfaq,Veeraraghavan,Quality Management,Senior Engineer,1998-01-13,9999-01-01,48990
251108,Mizuhito,Eiron,Production,Senior Engineer,1998-01-13,9999-01-01,62267
429219,Fabrizio,Katalagarianos,Customer Service,Senior Engineer,1998-01-13,9999-01-01,40000
492738,Jaques,Gammage,Human Resources,Staff,1998-01-13,9999-01-01,40000
10103,Akemi,Birch,Development,Engineer,1998-01-12,9999-01-01,68158
54923,Masoud,Perz,Quality Management,Senior Engineer,1998-01-12,9999-01-01,40000
